596 1000
133 135 84
135 327 41
327 24 92
24 591 38
591 508 11
135 26 67
26 474 67
26 366 57
508 328 55
366 147 37
474 37 35
474 344 5
366 149 53
366 587 75
474 169 9
366 0 50
474 248 24
169 401 72
366 86 75
169 110 54
508 206 99
169 314 48
110 578 20
133 148 40
148 283 81
148 173 90
169 25 90
25 9 28
9 452 49
148 384 5
37 325 76
384 551 20
248 463 30
578 392 19
551 464 21
0 50 51
37 493 52
86 204 8
173 569 28
493 550 27
37 115 70
401 111 27
327 531 24
401 525 75
327 567 18
314 387 6
248 521 93
567 258 98
587 199 97
115 98 42
135 12 51
12 95 94
24 510 47
133 434 60
384 326 12
37 415 41
50 137 6
510 245 87
137 158 41
0 593 99
314 355 5
199 469 65
9 154 66
206 77 72
37 93 77
12 276 1
401 176 82
86 385 52
569 38 24
392 560 32
98 367 7
314 360 50
206 319 29
169 8 29
8 536 16
551 397 64
464 330 68
8 300 82
355 376 82
360 353 70
560 579 45
330 431 18
366 161 36
319 43 31
387 308 25
415 363 48
148 553 29
319 530 71
587 356 96
245 27 7
434 495 64
397 192 6
578 478 44
326 473 31
473 220 66
158 1 86
161 529 19
579 59 12
245 345 51
530 460 42
115 523 87
147 67 83
158 322 33
9 205 42
258 487 27
192 455 26
50 428 55
308 444 2
149 175 37
550 103 16
220 430 5
473 572 53
86 63 23
469 281 28
12 583 16
43 216 28
206 518 91
591 287 84
583 264 73
387 30 64
216 336 60
336 590 43
314 112 13
110 323 47
192 291 92
220 151 42
8 516 98
523 127 90
356 244 24
583 224 92
495 122 98
567 588 93
336 239 95
384 39 97
363 212 49
158 106 62
495 576 40
147 70 99
319 280 65
344 513 43
133 309 40
327 279 42
258 272 92
464 117 11
95 378 77
24 315 34
367 483 24
415 573 56
572 354 2
353 153 89
513 543 99
59 338 52
378 432 12
355 406 10
248 71 98
276 197 61
95 252 20
325 180 62
572 538 78
508 561 55
328 126 14
43 74 90
478 352 38
473 549 11
239 260 40
281 218 45
308 166 99
27 555 50
587 145 69
27 181 31
67 100 49
244 3 88
463 546 15
281 196 29
319 441 36
590 394 49
137 275 40
538 118 34
126 324 74
474 390 63
430 202 34
98 187 46
550 222 87
122 337 41
555 139 47
67 10 62
