100 99
7 54 51
54 64 9
64 59 32
64 74 47
74 73 80
7 5 40
73 17 57
73 30 61
64 42 99
74 95 79
59 53 21
74 27 95
5 32 38
17 51 27
17 11 41
5 18 69
95 58 34
59 66 89
64 41 64
32 93 34
7 0 89
7 79 69
74 99 52
11 55 19
41 77 92
58 68 40
55 6 62
5 45 49
73 20 28
55 52 85
42 40 46
18 84 80
59 22 35
54 39 87
53 72 94
93 67 58
64 85 30
20 92 94
73 46 58
17 86 12
41 38 65
53 81 30
17 69 78
0 29 85
93 91 55
73 28 12
72 19 34
39 23 70
42 16 17
28 37 60
38 71 43
46 61 63
67 8 42
66 83 90
53 97 57
91 3 3
19 21 2
71 4 47
29 34 45
27 50 89
64 48 45
40 49 10
72 96 37
67 12 86
20 98 70
98 76 54
23 25 60
85 1 49
49 88 9
7 9 19
6 44 25
83 60 8
41 10 34
79 65 4
79 82 68
82 63 92
81 89 59
50 78 7
38 36 5
50 15 66
12 87 19
82 26 37
42 90 50
60 57 21
69 35 3
21 56 60
11 43 60
38 70 21
91 14 40
63 80 58
14 47 38
52 31 33
93 24 86
53 94 63
99 13 34
25 2 75
23 75 99
3 33 98
16 62 12
