1000 34999
382 984 1
984 813 0
813 766 0
766 459 0
382 422 1
422 203 1
766 708 0
422 161 0
382 276 1
161 169 0
459 663 0
708 558 0
663 786 1
169 757 0
203 546 1
169 493 1
757 950 1
276 87 1
87 897 1
161 425 0
984 151 1
151 86 1
786 666 1
459 726 1
950 212 0
86 744 0
86 31 1
87 593 1
786 788 1
169 3 0
3 522 1
276 820 0
744 357 1
766 641 1
382 315 0
86 373 1
558 642 1
726 207 0
203 191 0
207 810 1
546 40 0
87 540 0
757 793 1
820 838 0
31 370 1
663 524 0
641 365 0
40 993 1
786 472 0
276 868 1
370 896 0
642 192 0
868 559 0
540 808 1
984 503 1
169 732 0
896 371 1
207 334 1
642 991 0
192 362 1
31 655 0
425 884 0
524 77 0
950 444 0
203 88 1
365 802 1
808 138 1
138 176 0
788 903 0
191 851 0
334 317 0
884 555 0
991 521 1
808 268 0
732 659 0
87 703 1
422 409 1
503 495 1
642 68 0
793 368 0
559 652 0
472 756 1
151 734 0
732 438 0
88 34 0
503 573 1
659 977 1
558 66 1
546 121 0
362 257 0
977 461 0
993 241 1
191 962 0
357 355 1
472 202 0
786 863 0
732 924 0
641 417 0
977 198 0
459 534 0
659 323 0
766 465 0
642 65 1
744 338 1
559 922 0
276 247 0
813 699 0
924 955 0
370 496 0
203 71 0
161 782 0
192 700 1
373 575 0
422 945 0
903 857 1
334 639 0
896 901 0
87 134 0
202 386 1
802 76 1
642 537 0
459 131 1
766 74 0
87 913 0
493 101 0
808 105 0
575 715 0
558 402 0
86 875 0
984 549 0
666 193 1
268 42 0
402 994 1
782 83 1
708 290 0
977 102 0
913 491 0
493 592 0
521 789 1
726 280 1
280 227 1
34 915 1
655 828 0
212 891 0
639 260 1
402 762 0
365 662 1
913 936 1
522 970 1
382 560 1
77 929 0
121 640 0
207 612 0
83 824 0
161 604 0
409 839 0
524 527 1
793 182 1
744 849 0
65 959 1
993 973 1
102 248 1
700 217 1
276 187 0
802 109 1
540 944 0
915 856 1
465 480 1
955 140 1
537 914 0
901 453 0
604 81 0
368 173 1
109 796 0
382 208 0
534 322 0
365 695 0
40 61 0
802 67 0
820 696 1
663 186 1
176 397 0
438 309 0
208 219 0
101 609 1
593 999 0
555 263 1
386 146 1
276 20 1
810 313 0
81 969 1
875 918 0
198 424 0
138 170 0
977 488 0
40 115 1
461 457 1
793 307 1
227 282 0
782 982 1
290 645 1
151 771 1
68 584 1
950 113 0
592 939 0
788 447 0
969 252 1
323 271 1
109 739 0
868 712 1
945 415 0
88 259 0
969 864 1
67 364 0
875 815 1
868 582 0
187 873 1
207 246 0
212 949 0
208 347 0
65 749 1
276 633 0
263 607 0
749 886 1
929 854 1
